# id                RA        Dec       z       q rfU-V              rfV-J               logMASS
  WFI_1301-11_26139 195.26248 -11.52956 0.3804  2 1.7941332575060764 1.413570776953488   9.41   
  WFI_1301-11_25985 195.24525 -11.53011 0.42702 3 0.9268462520978418 0.40332131982079433 8.86   
  WFI_1301-11_26319 195.2644  -11.52932 0.51176 4 1.89985230825213   1.638031742192732   10.31  
  WFI_1301-11_26326 195.23578 -11.52652 0.37099 4 2.0060344129300742 1.7764126442806623  9.95   
  WFI_1301-11_26717 195.25574 -11.52019 0.46275 4 2.154879509888506  1.0834689179307986  10.4   
  WFI_1301-11_26781 195.23402 -11.51739 0.48442 4 1.1398900350347596 0.08177554334413448 8.9    
  WFI_1301-11_26885 195.2475  -11.5171  0.25336 4 0.9380504856714545 0.24630707361351975 9.07   
  WFI_1301-11_27284 195.26086 -11.50978 0.4679  4 0.8412859025209853 0.4748717963725252  9.51   
  WFI_1301-11_27354 195.22784 -11.5089  0.23617 4 0.8760767580417471 0.38744088778937447 9.13   
  WFI_1301-11_27695 195.25896 -11.50491 0.0645  4 0.7341951459571373 0.45772101809960064 7.47   
