# id                RA                Dec                z      
  WFI_1301-11_16003 195.3727424446798 -11.69896647642411 0.41132
  WFI_1301-11_16699 195.3754139754268 -11.68873445758292 0.38998
  WFI_1301-11_15178 195.3893165521301 -11.71276329397783 1.03108
  WFI_1301-11_15284 195.3879506908449 -11.71486337696873 0.52686
  WFI_1301-11_15329 195.3757350037893 -11.71095684954181 0.58571
  WFI_1301-11_15419 195.3851918947791 -11.70862163830803 1.02799
  WFI_1301-11_15428 195.4019178167605 -11.71264537872088 0.50475
  WFI_1301-11_15754 195.3865430912483 -11.7042961116939  0.34175
  WFI_1301-11_15795 195.390595298548  -11.70227381166618 0.16294
  WFI_1301-11_15884 195.3891105197499 -11.70089342956576 0.48229
  WFI_1301-11_16088 195.3884805911329 -11.69756860602116 0.40206
  WFI_1301-11_16124 195.3846592956898 -11.69889757630151 0.47817
  WFI_1301-11_16255 195.3748385918352 -11.69516309704208 0.35125
  WFI_1301-11_16576 195.3991938015006 -11.68930374574144 1.11023
  WFI_1301-11_16642 195.369694106005  -11.68950536738407 0.51019
  WFI_1301-11_16810 195.3771282593738 -11.68564136865102 0.45808
  WFI_1301-11_17139 195.3877979269402 -11.67971230127643 0.41745
